#pci_vid_pid,chip_name,device_name,vendor_name,class,sub_vid_pid,driver_name,codec_support,stream_format,图形API/计算API,vo,opengl_renderer,END
1002:1636,Renoir,Renoir,AMD,0x0300,无,kernel514,vaapi/vdpau,H.264/H.265,NUL,NUL,NUL,END
8086:9a49,[Iris Xe Graphics],TigerLake-LP GT2,intel,0x0300,无,kernel514,vaapi,H.264/H.265,NUL,NUL,NUL,END
8086:9b41,CometLake-U GT2,UHD Graphics,intel,末知,无,i915,vaapi,H.264/H.265,NUL,NUL,NUL,END
1ed5:ffff,more_thread,摩尔线程（默认通配）,摩尔线程,0x0000,无,unknow,vaapi,H.264/H.265,NUL,NUL,NUL,END
1ed5:0100,S10,Moore Threads MTT S10,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0101,S10,Moore Threads MTT S10,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0102,S30,Moore Threads MTT S30,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0105,S50,Moore Threads MTT S50,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0106,S60,Moore Threads MTT S60,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0111,S100,Moore Threads MTT S100,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0121,S1000M,Moore Threads MTT S1000M,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0122,S1000,Moore Threads MTT S1000,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0123,S2000,Moore Threads MTT S2000,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0200,S80,Moore Threads MTT S80 Engineering Sample,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0201,S80,Moore Threads MTT S80,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0202,S70,Moore Threads MTT S70,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0203,S60,Moore Threads MTT S60,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0211,X300,Moore Threads MTT X300,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0221,G2S80,Moore Threads G2S80,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0222,S3000,Moore Threads MTT S3000,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0223,G2S4,Moore Threads G2S4,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0225,S3000E,Moore Threads MTT S3000E,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0251,G2N10,Moore Threads G2N10,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0300,S90,Moore Threads MTT S90 Engineering Sample,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0301,S90,Moore Threads MTT S90,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0313,X500,Moore Threads MTT X500,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0323,S4000,Moore Threads MTT S4000,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0327,S4000,Moore Threads MTT S4000,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ed5:0328,S4000,Moore Threads MTT S4000,Moore Threads摩尔线程,0x0300,无,unknow,vaapi,H.264/H.265/VP9,NUL,gpu,NUL,END
1ec8:ffff,Fantasy xxx,Fantasy xxx,Innosilicon Co Ltd芯动科技,0x0302,1ec8:12a2 ,inno-drv,vaapi,ffmpeg4.3.2/4K@60fps/H.264/H.265 Main/Main11/Main Still Picture,OPENGL 4.25/OPENGL ES 3.2/VULKAN 1.2/OPENCL 1.2 / 2.1EP / 3.0,NUL,NUL,END
1db7:ftg340,FTG340,Phytium FTG340,飞腾,0x0300,无,phytium,vaapi,H.264/H.265,OpenGL_4.6,vaapi,Phytium FTG340,END
#小写pci_Id,芯片核心代号,市场名称,核心芯片供应商名称,分类,子供应商,内核驱动名,解码框架,解码格式,,#解析格式需要
#注释,#pci_vid:ffff ,,,,,,,,,,
#update:,将通配该vid供应商下所有的显卡型号,,,2022,11月09,,,,,
row_end,row_end,,,,,,,,,,
#,,<<PCI Code and ID Assignment Specification>>,,,,,,,,
#,VDP_Decoder_t,C 03 Display controller,,,,,,,,
#,,00 VGA compatible controller,,,,,,,,
#,,01 8514 controller,,,,,,,,
#,,01 XGA compatible controller,,,,,,,,
#,,02 3D controller,,,,,,,,
#,,80 Display controller,,,,,,,,
#,,C 04 Multimedia controller,,,,,,,,
#,,00 Multimedia video controller,,,,,,,,
#,,01 Multimedia audio controller,,,,,,,,
#,,02 Computer telephony device,,,,,,,,
#,,03 Audio device,,,,,,,,
#,,80 Multimedia controller,,,,,,,,
#,,,,,,,,,,
